champ_name,top,jungle,mid,adc,support,build,runes
annie,,,"[['Hwei', 'Syndra', 'Akali', 'Twisted Fate', 'Galio', 'Nasus', 'Diana', 'Aurelion Sol', 'Zoe', 'Talon', 'Akshan', 'Qiyana', 'Taliyah', 'Cassiopeia', 'Lucian', ""Vel'Koz""], ['Yasuo', 'Yone', 'Ahri', 'Smolder', 'Orianna', 'Vladimir', 'Xerath', 'Malzahar', 'Fizz', 'Azir', 'Viktor', 'Ryze', 'Vex', 'Ekko', 'Brand', 'Corki', 'Tristana', 'Varus', 'Zeri'], ['Sylas', 'Lux', 'Veigar', 'Kassadin', 'Irelia', 'Anivia', 'Garen']]",,,"['Malignance', ""Liandry's Torment"", ""Rylai's Crystal Scepter""]",
annie,,,,,"[['Thresh', 'Leona', 'Karma', 'Pyke', 'Yuumi'], ['Nami', 'Milio', 'Lux', 'Nautilus', 'Lulu', 'Seraphine'], ['Senna']]","['Malignance', ""Liandry's Torment"", ""Rylai's Crystal Scepter""]",
aphelios,,,,"[['Jhin', 'Caitlyn', 'Miss Fortune', 'Smolder', 'Jinx', 'Varus', 'Ashe', 'Ziggs', 'Twitch', 'Vayne', ""Kog'Maw"", 'Seraphine', 'Swain'], ['Lucian', 'Nilah', 'Yasuo'], [""Kai'Sa"", 'Zeri', 'Kalista', 'Brand']]",,"['The Collector', 'Infinity Edge', ""Lord Dominik's Regards""]",
ashe,,,,"[['Jinx', 'Zeri', 'Ziggs', ""Kog'Maw"", 'Nilah', 'Tristana', 'Brand'], ['Aphelios', 'Sivir', 'Kalista', 'Seraphine'], ['Ezreal', 'Smolder', 'Varus', 'Draven', 'Yasuo', 'Swain']]",,"['Statikk Shiv', 'Kraken Slayer', 'Bloodthirster']",
ashe,,,,,"[['Senna', 'Thresh', 'Nami', 'Karma', 'Lulu', 'Leona', 'Seraphine', 'Milio', 'Blitzcrank', 'Pyke', 'Xerath', 'Bard', 'Soraka', 'Rell', 'Braum', 'Rakan', 'Zyra', 'Janna', 'Alistar', ""Vel'Koz"", 'Poppy', 'Sona'], ['Nautilus', 'Lux', 'Morgana'], ['Zilean', 'Brand', 'Maokai']]","['Umbral Glaive', 'Imperial Mandate', 'Axiom Arc']",
aurelionsol,,,"[['Yone', 'Sylas', 'Katarina', 'Aurora', 'Ahri', 'Akali', 'Fizz', 'Ryze', 'Xerath', 'Irelia', 'Kassadin', 'Diana', 'Naafiri', 'Ekko', 'Garen', 'Nunu & Willump'], ['Smolder', 'Yasuo', 'Syndra', 'Orianna', 'Lux', 'Vladimir', 'Nasus', 'Azir', 'Malzahar', 'Veigar', 'Vex', 'Viktor', 'Anivia', 'Ziggs', 'Zoe', 'Corki', 'Qiyana', 'Taliyah', 'Brand', 'Lucian', 'Tristana', 'Annie', 'Varus', ""Vel'Koz"", 'Jayce', 'Zeri', 'Pantheon', 'Kennen', 'Kayle', 'Gragas', 'Rumble', 'Neeko'], ['Hwei', 'LeBlanc', 'Galio', 'Swain', 'Quinn']]",,,"['Tear of the Goddess', ""Rylai's Crystal Scepter"", ""Liandry's Torment"", ""Seraph's Embrace""]",
aurora,"[['Jayce', 'Irelia', 'Vladimir', 'Riven', 'Gwen', 'Tryndamere', 'Gragas', 'Yasuo', 'Rumble', 'Shen', 'Quinn', 'Sylas', 'Singed', 'Zed', 'Udyr', 'Heimerdinger'], ['Garen', 'Renekton', 'Mordekaiser', 'Smolder', ""K'Sante"", 'Ornn', 'Fiora', 'Illaoi', 'Gangplank', 'Yorick', 'Sion', 'Akali', 'Wukong', 'Kled', 'Warwick', 'Kayle', 'Ryze', 'Vayne', 'Zac', 'Varus', 'Cassiopeia', 'Trundle'], ['Nasus', 'Aatrox', 'Darius', 'Yone', 'Camille', 'Sett', 'Volibear', 'Malphite', 'Dr. Mundo', 'Gnar', 'Kennen', 'Pantheon', 'Teemo', 'Tahm Kench', ""Cho'Gath"", 'Olaf', 'Poppy']]",,,,,"['Malignance', ""Liandry's Torment"", 'Cosmic Drive']",
aurora,,,"[['Zed', 'Katarina', 'Vladimir', 'Ryze', 'Talon', 'Zoe', 'Diana', 'Ekko', 'Cassiopeia', ""Vel'Koz"", 'Varus', 'Tristana', 'Neeko', 'Kennen'], ['Yone', 'Yasuo', 'Smolder', 'Orianna', 'Azir', 'Aurelion Sol', 'Malzahar', 'Fizz', 'Viktor', 'Anivia', 'Kassadin', 'Corki', 'Akshan', 'Brand', 'Lucian', 'Swain', 'Nunu & Willump', 'Malphite', 'Gragas', 'Kayle', 'Rumble', 'Renekton'], ['Sylas', 'LeBlanc', 'Ahri', 'Akali', 'Lux', 'Vex', 'Xerath', 'Galio', 'Nasus', 'Irelia', 'Qiyana', 'Naafiri', 'Ziggs', 'Taliyah', 'Jayce', 'Annie', 'Zeri', 'Pantheon', 'Quinn']]",,,"['Malignance', ""Liandry's Torment"", 'Cosmic Drive']",
azir,,,"[['Hwei', 'Sylas', 'Zed', 'LeBlanc', 'Ahri', 'Syndra', 'Aurora', 'Orianna', 'Xerath', 'Lux', 'Twisted Fate', 'Aurelion Sol', 'Ryze', 'Veigar', 'Viktor', 'Vladimir', 'Nasus', 'Vex', 'Galio', 'Malzahar', 'Irelia', 'Zoe', 'Qiyana', 'Ziggs', 'Taliyah', 'Kassadin', 'Tristana', 'Brand', 'Annie', 'Neeko', 'Nunu & Willump', 'Gragas', 'Pantheon', 'Malphite', 'Kayle', 'Rumble'], ['Yone', 'Yasuo', 'Smolder', 'Fizz', 'Akshan', 'Lucian', 'Garen', 'Zeri', 'Swain'], ['Lissandra', 'Katarina', 'Talon', 'Corki', 'Naafiri', ""Vel'Koz"", 'Jayce', 'Quinn', 'Kennen']]",,,"[""Nashor's Tooth"", ""Liandry's Torment"", ""Zhonya's Hourglass""]",
bard,,,,,"[['Nami', 'Pyke', 'Rell', 'Poppy', 'Sona', ""Vel'Koz"", 'Maokai', 'Taric', 'Tahm Kench', 'Amumu', 'Camille'], ['Leona', 'Nautilus', 'Karma', 'Seraphine', 'Lux', 'Blitzcrank', 'Rakan', 'Braum', 'Alistar', 'Morgana', 'Brand', 'Hwei', 'Ashe', 'LeBlanc'], ['Senna', 'Thresh', 'Milio', 'Janna', 'Xerath', 'Zilean', 'Neeko', 'Pantheon', 'Shaco', 'Swain', 'Zac', 'Fiddlesticks', 'Shen', 'Zoe']]","['Cosmic Drive', 'Locket of the Iron Solari', 'Frozen Heart']",
belveth,,"[['Amumu', 'Shyvana', 'Volibear', 'Wukong', 'Fiddlesticks', 'Rengar', 'Warwick', 'Ivern', ""Rek'Sai"", 'Poppy'], ['Viego', 'Kayn', 'Shaco', 'Xin Zhao', 'Evelynn', 'Karthus', 'Sejuani', 'Rammus', 'Skarner', 'Gragas', 'Talon', 'Gwen', 'Zed', 'Sylas', 'Qiyana', 'Morgana', 'Jax', 'Zyra'], ['Lee Sin', ""Kha'Zix"", 'Lillia', 'Graves', 'Hecarim', 'Nocturne', 'Jarvan IV', 'Diana', 'Vi', 'Udyr', 'Kindred', 'Ekko', 'Master Yi', 'Briar', 'Zac', 'Nunu & Willump', 'Elise', 'Brand', 'Maokai']]",,,,"['Kraken Slayer', 'Stridebreaker', ""Wit's End""]",
blitzcrank,,,,,"[['Leona', 'Nautilus', 'Braum', 'Morgana', 'Rakan', 'Janna', 'Bard', 'Poppy', ""Vel'Koz"", 'Zilean', 'Maokai', 'Taric', 'Swain', 'Zoe', 'Fiddlesticks'], ['Karma', 'Lux', 'Soraka', 'Zyra', 'Sona', 'Hwei', 'Renata Glasc', 'Ashe', 'Amumu', 'Shen'], ['Senna', 'Thresh', 'Lulu', 'Pyke', 'Xerath', 'Brand', 'Shaco', 'Tahm Kench', 'LeBlanc', 'Camille']]","['Locket of the Iron Solari', ""Zeke's Convergence"", ""Knight's Vow""]",
brand,,,,,"[['Senna', 'Nami', 'Karma', 'Lulu', 'Milio', 'Pyke', 'Yuumi', 'Soraka', 'Xerath', 'Janna', 'Bard', 'Poppy', 'Zilean', 'Pantheon', 'Sona', 'Neeko', 'Shaco', 'LeBlanc', 'Amumu'], ['Braum', 'Rell', 'Alistar', 'Swain', 'Taric', 'Tahm Kench', 'Renata Glasc', 'Hwei', 'Camille'], ['Thresh', 'Nautilus', 'Lux', 'Zyra', 'Rakan', ""Vel'Koz"", 'Maokai', 'Zac', 'Shen']]","[""Rylai's Crystal Scepter"", ""Liandry's Torment"", 'Morellonomicon']",
braum,,,,,"[['Senna', 'Nami', 'Lulu', 'Rakan', 'Milio', 'Poppy', 'Bard', 'Brand', 'Zilean', ""Vel'Koz"", 'Sona', 'Taric', 'Renata Glasc', 'Shaco', 'Amumu', 'Zac', 'LeBlanc', 'Shen'], ['Nautilus', 'Blitzcrank', 'Neeko', 'Hwei', 'Ashe', 'Zoe'], ['Leona', 'Thresh', 'Pyke', 'Alistar', 'Yuumi', 'Janna', 'Xerath', 'Zyra', 'Maokai', 'Pantheon', 'Swain', 'Tahm Kench', 'Camille', 'Fiddlesticks']]","[""Warmog's Armor"", 'Locket of the Iron Solari', ""Knight's Vow""]",
caitlyn,,,,"[['Jhin', 'Miss Fortune', 'Jinx', 'Ziggs', 'Samira', 'Sivir', 'Nilah', 'Seraphine', 'Brand', 'Yasuo', 'Swain'], ['Zeri', 'Aphelios', 'Tristana'], [""Kai'Sa"", 'Smolder', 'Lucian', 'Ashe', 'Twitch', 'Xayah', 'Vayne', ""Kog'Maw"", 'Kalista']]",,"['The Collector', 'Infinity Edge', 'Rapid Firecannon']",
camille,"[['Gwen', 'Urgot', 'Warwick', 'Zac', ""Cho'Gath"", 'Zed', 'Heimerdinger'], ['Garen', 'Nasus', 'Fiora', 'Yone', 'Riven', 'Ornn', ""K'Sante"", 'Smolder', 'Tryndamere', 'Malphite', 'Irelia', 'Dr. Mundo', 'Sion', 'Yorick', 'Olaf', 'Kled', 'Rumble', 'Akali', 'Yasuo', 'Quinn', 'Trundle', 'Varus', 'Sylas', 'Udyr', 'Cassiopeia'], ['Aatrox', 'Renekton', 'Darius', 'Sett', 'Mordekaiser', 'Volibear', 'Jayce', 'Illaoi', 'Vladimir', 'Gnar', 'Wukong', 'Pantheon', 'Shen', 'Poppy', 'Tahm Kench', 'Aurora', 'Kennen', 'Teemo', 'Kayle', 'Singed', 'Ryze']]",,,,,"['Trinity Force', 'Ravenous Hydra', ""Sterak's Gage""]",
cassiopeia,,,"[['Lux', 'Viktor', 'Galio', 'Talon', 'Fizz', 'Anivia', 'Zeri', 'Swain'], ['Katarina', 'Smolder', 'Ahri', 'LeBlanc', 'Lissandra', 'Aurora', 'Orianna', 'Nasus', 'Ryze', 'Vladimir', 'Veigar', 'Vex', 'Irelia', 'Diana', 'Corki', 'Zoe', 'Akshan', 'Naafiri', 'Taliyah', 'Tristana', 'Garen', 'Brand', 'Lucian', 'Ziggs', 'Varus', 'Annie', 'Kennen', 'Neeko'], ['Sylas', 'Yone', 'Yasuo', 'Hwei', 'Syndra', 'Xerath', 'Akali', 'Aurelion Sol', 'Malzahar', 'Azir', 'Twisted Fate', 'Ekko', 'Qiyana', 'Jayce']]",,,"['Tear of the Goddess', 'Rod of Ages', ""Seraph's Embrace"", ""Rylai's Crystal Scepter""]",
cassiopeia,,,"[['Lux', 'Viktor', 'Galio', 'Talon', 'Fizz', 'Anivia', 'Zeri', 'Swain'], ['Katarina', 'Smolder', 'Ahri', 'LeBlanc', 'Lissandra', 'Aurora', 'Orianna', 'Nasus', 'Ryze', 'Vladimir', 'Veigar', 'Vex', 'Irelia', 'Diana', 'Corki', 'Zoe', 'Akshan', 'Naafiri', 'Taliyah', 'Tristana', 'Garen', 'Brand', 'Lucian', 'Ziggs', 'Varus', 'Annie', 'Kennen', 'Neeko'], ['Sylas', 'Yone', 'Yasuo', 'Hwei', 'Syndra', 'Xerath', 'Akali', 'Aurelion Sol', 'Malzahar', 'Azir', 'Twisted Fate', 'Ekko', 'Qiyana', 'Jayce']]",,,"['Tear of the Goddess', 'Rod of Ages', ""Seraph's Embrace"", ""Rylai's Crystal Scepter""]",
chogath,"[['Sett', 'Fiora', 'Gwen', 'Yone', 'Dr. Mundo', 'Illaoi', 'Ornn', 'Shen', 'Heimerdinger'], ['Garen', 'Renekton', 'Riven', 'Volibear', 'Jax', 'Camille', 'Malphite', 'Jayce', 'Vladimir', 'Irelia', ""K'Sante"", 'Gragas', 'Kayle', 'Kled', 'Wukong', 'Warwick', 'Trundle', 'Quinn', 'Akali', 'Yasuo', 'Vayne', 'Poppy', 'Zac', 'Cassiopeia'], ['Aatrox', 'Mordekaiser', 'Yorick', 'Smolder', 'Gangplank', 'Gnar', 'Tahm Kench', 'Teemo', 'Aurora', 'Sylas', 'Singed', 'Udyr', 'Ryze']]",,,,,"['Heartsteel', 'Sunfire Aegis', 'Thornmail']",
corki,,,"[['Sylas', 'Yone', 'LeBlanc', 'Yasuo', 'Hwei', 'Katarina', 'Zed', 'Aurora', 'Lissandra', 'Syndra', 'Ahri', 'Orianna', 'Lux', 'Vladimir', 'Akali', 'Ryze', 'Galio', 'Xerath', 'Nasus', 'Twisted Fate', 'Malzahar', 'Vex', 'Aurelion Sol', 'Veigar', 'Lucian', 'Diana', 'Zoe', 'Anivia', 'Naafiri', 'Irelia', 'Cassiopeia', 'Akshan', 'Ekko', 'Zeri', 'Brand', 'Taliyah', 'Garen', 'Annie', ""Vel'Koz"", 'Varus', 'Quinn', 'Rumble'], ['Qiyana', 'Pantheon'], ['Smolder', 'Azir', 'Viktor', 'Fizz', 'Tristana', 'Talon', 'Ziggs', 'Jayce']]",,,"['Tear of the Goddess', 'Trinity Force', 'Muramana', 'Rapid Firecannon']",
darius,"[['Volibear', 'Riven', 'Illaoi', 'Yorick', 'Gnar', 'Gwen', 'Kennen', 'Wukong', 'Urgot', 'Pantheon', 'Quinn', 'Singed', 'Ryze', 'Cassiopeia'], ['Garen', 'Yone', 'Fiora', ""K'Sante"", 'Tryndamere', 'Sion', 'Irelia', 'Kled', 'Olaf', 'Rumble', 'Yasuo', 'Akali', 'Poppy', 'Trundle', 'Varus', 'Udyr', 'Zed'], ['Aatrox', 'Nasus', 'Renekton', 'Camille', 'Jax', 'Dr. Mundo', 'Jayce', 'Smolder', 'Gangplank', 'Vladimir', 'Tahm Kench', 'Gragas', 'Vayne', 'Shen', 'Kayle', 'Aurora', ""Cho'Gath"", 'Warwick', 'Sylas', 'Heimerdinger']]",,,,,"['Stridebreaker', ""Sterak's Gage"", ""Dead Man's Plate""]",
diana,,,"[['Sylas', 'Yasuo', 'Galio', 'Vex', 'Fizz', 'Talon', 'Viktor', 'Ekko', 'Nasus', 'Anivia', 'Akshan', 'Cassiopeia', 'Brand', ""Vel'Koz"", 'Pantheon', 'Swain', 'Gragas', 'Nunu & Willump'], ['Zed', 'Yone', 'Smolder', 'Aurora', 'Syndra', 'Akali', 'Malzahar', 'Lux', 'Veigar', 'Aurelion Sol', 'Xerath', 'Qiyana', 'Zoe', 'Kassadin', 'Corki', 'Garen', 'Ziggs', 'Annie', 'Taliyah', 'Lucian', 'Jayce', 'Tristana', 'Varus', 'Zeri'], ['Katarina', 'LeBlanc', 'Hwei', 'Orianna', 'Twisted Fate', 'Azir']]",,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
diana,,"[['Viego', 'Amumu', 'Nocturne', 'Ekko', 'Udyr', 'Briar', 'Kindred', 'Volibear', 'Xin Zhao', 'Warwick', 'Ivern', 'Rammus', 'Skarner', ""Rek'Sai"", 'Maokai', 'Poppy', 'Jax'], ['Lillia', 'Nidalee', 'Vi', 'Evelynn', 'Karthus', 'Taliyah', 'Qiyana', 'Morgana'], ['Graves', 'Hecarim', 'Shyvana', 'Rengar', 'Sejuani', 'Brand', 'Fiddlesticks', 'Nunu & Willump', 'Gragas', 'Wukong', 'Sylas', 'Elise', 'Zed', 'Talon']]",,,,"[""Nashor's Tooth"", 'Lich Bane', ""Zhonya's Hourglass""]",
drmundo,"[['Nasus', 'Aatrox', 'Garen', 'Gwen', 'Sett', 'Mordekaiser', 'Camille', 'Fiora', 'Illaoi', 'Riven', 'Vladimir', 'Yorick', 'Irelia', 'Gnar', 'Tryndamere', 'Tahm Kench', 'Olaf', 'Kayle', 'Wukong', 'Warwick', 'Kled', 'Zac', 'Singed', 'Udyr', 'Varus', 'Sylas', 'Zed'], ['Renekton', 'Smolder', 'Jax', 'Malphite', 'Jayce', 'Gangplank', 'Sion', 'Gragas', 'Kennen', ""Cho'Gath"", 'Pantheon', 'Teemo', 'Rumble', 'Poppy', 'Ryze', 'Akali', 'Quinn', 'Cassiopeia', 'Heimerdinger'], ['Ornn', 'Urgot', 'Trundle', 'Vayne', 'Yasuo']]",,,,,"[""Warmog's Armor"", 'Heartsteel', 'Spirit Visage']",
draven,,,,"[['Twitch', ""Kog'Maw"", 'Seraphine', 'Brand', 'Swain'], ['Ezreal', 'Smolder', 'Varus', 'Xayah', 'Sivir', 'Kalista', 'Tristana'], ['Jhin', ""Kai'Sa"", 'Caitlyn', 'Lucian', 'Ashe', 'Ziggs', 'Aphelios', 'Vayne', 'Nilah']]",,"['Bloodthirster', 'Infinity Edge', ""Lord Dominik's Regards""]",
ekko,,,"[['Lissandra', 'Akali', 'Lux', 'Vladimir', 'Ryze', 'Talon', 'Qiyana', 'Naafiri', 'Garen', 'Akshan', 'Annie', 'Jayce', 'Pantheon', 'Gragas', 'Quinn', 'Neeko'], ['Katarina', 'Syndra', 'Smolder', 'Ahri', 'Aurora', 'LeBlanc', 'Orianna', 'Malzahar', 'Galio', 'Xerath', 'Viktor', 'Aurelion Sol', 'Vex', 'Diana', 'Kassadin', 'Zoe', 'Irelia', 'Brand', 'Corki', 'Ziggs', ""Vel'Koz"", 'Tristana', 'Zeri', 'Kennen'], ['Zed', 'Sylas', 'Yone', 'Hwei', 'Twisted Fate', 'Fizz', 'Veigar', 'Anivia', 'Azir', 'Nasus', 'Taliyah', 'Lucian']]",,,"['Lich Bane', ""Nashor's Tooth"", ""Rabadon's Deathcap""]",
ekko,,"[['Amumu', 'Kayn', 'Hecarim', 'Master Yi', 'Xin Zhao', 'Zed', 'Ivern', ""Rek'Sai"", 'Morgana', 'Qiyana'], ['Graves', 'Vi', 'Udyr', 'Kindred', 'Briar', 'Volibear', 'Brand', 'Sejuani', 'Rengar', 'Elise', 'Karthus', 'Taliyah', 'Rammus', 'Maokai', 'Jax', 'Zyra'], ['Viego', 'Lillia', 'Diana', 'Nocturne', 'Nidalee', 'Shaco', 'Shyvana', 'Zac', 'Sylas', 'Warwick', 'Nunu & Willump', 'Wukong', 'Talon', 'Poppy']]",,,,"['Hextech Rocketbelt', 'Lich Bane', ""Zhonya's Hourglass""]",
elise,,"[['Nocturne', 'Amumu', 'Ekko', 'Shyvana', 'Briar', 'Udyr', ""Bel'Veth"", 'Warwick', 'Nunu & Willump', 'Rengar', 'Wukong', 'Rammus', 'Zed', 'Ivern', 'Zyra'], ['Graves', 'Vi', 'Kindred', 'Master Yi', 'Fiddlesticks', 'Volibear', 'Karthus', 'Brand', 'Sylas', 'Gragas', 'Skarner', 'Maokai'], ['Lee Sin', 'Viego', 'Lillia', ""Kha'Zix"", 'Nidalee', 'Kayn', 'Hecarim', 'Diana', 'Xin Zhao', 'Taliyah', 'Poppy']]",,,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
evelynn,,"[['Jarvan IV', 'Nocturne', 'Diana', 'Udyr', 'Volibear', 'Warwick', 'Zac', 'Xin Zhao', ""Bel'Veth"", 'Nunu & Willump', 'Brand', 'Talon', ""Rek'Sai"", 'Gwen', 'Rammus', 'Skarner', 'Zyra', 'Maokai'], ['Lee Sin', 'Kayn', 'Nidalee', 'Vi', 'Shyvana', 'Gragas', 'Karthus', 'Sylas', 'Taliyah', 'Jax'], ['Viego', 'Graves', 'Shaco', 'Ekko', 'Briar', 'Rengar', 'Sejuani', 'Wukong', 'Elise', 'Morgana', 'Qiyana', 'Poppy']]",,,,"['Dark Seal', 'Lich Bane', ""Mejai's Soulstealer"", ""Rabadon's Deathcap""]",
ezreal,,,,"[['Jhin', ""Kai'Sa"", 'Miss Fortune', 'Draven', 'Ziggs', 'Vayne', 'Twitch', 'Sivir', ""Kog'Maw"", 'Nilah', 'Yasuo', 'Brand', 'Swain'], [], ['Caitlyn', 'Smolder', 'Varus', 'Ashe', 'Samira', 'Aphelios', 'Xayah', 'Tristana']]",,"['Tear of the Goddess', 'Trinity Force', 'Muramana', 'Spear of Shojin']",
